epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,7544.87,0.55886,0.33137,0.98708,0.99437,0.98723,0.9919,0.90195,0.46266,0.22971,0.88605,0.000247716,0.000247716,0.000247716
88,7627.96,0.54059,0.3234,0.9692,0.99449,0.98766,0.99248,0.90556,0.45434,0.22936,0.88303,0.000231213,0.000231213,0.000231213
89,7712.91,0.53841,0.31509,0.96899,0.99545,0.98766,0.99315,0.90433,0.45343,0.22638,0.88083,0.00021471,0.00021471,0.00021471
90,7798.24,0.53688,0.3158,0.96591,0.99557,0.98714,0.99252,0.90442,0.45319,0.22603,0.87908,0.000198206,0.000198206,0.000198206
91,7890.97,0.46782,0.24793,0.92024,0.99566,0.98766,0.9932,0.90566,0.45164,0.22718,0.87932,0.000181703,0.000181703,0.000181703
92,7975.42,0.45846,0.23884,0.91393,0.9981,0.98718,0.99346,0.90443,0.44604,0.22085,0.87831,0.0001652,0.0001652,0.0001652
93,8061.59,0.44446,0.23151,0.91034,0.99771,0.98766,0.99383,0.9125,0.4364,0.22008,0.87151,0.000148696,0.000148696,0.000148696
94,8144.15,0.4415,0.23065,0.90816,0.99613,0.98766,0.99298,0.91366,0.43057,0.21793,0.86793,0.000132193,0.000132193,0.000132193
95,8225.6,0.44242,0.22986,0.90924,0.99795,0.98539,0.9929,0.91589,0.42437,0.21899,0.8689,0.00011569,0.00011569,0.00011569
96,8310.63,0.43038,0.22432,0.90004,0.9942,0.98766,0.99325,0.91595,0.42656,0.21669,0.86843,9.91865e-05,9.91865e-05,9.91865e-05
97,8394.49,0.43635,0.2277,0.90508,0.99611,0.98766,0.99329,0.91925,0.42379,0.21252,0.8649,8.26832e-05,8.26832e-05,8.26832e-05
98,8480.08,0.42776,0.22315,0.90644,0.99731,0.98766,0.99314,0.9183,0.41877,0.21157,0.86256,6.61799e-05,6.61799e-05,6.61799e-05
99,8565.92,0.42651,0.22165,0.89545,0.99662,0.98766,0.99325,0.91963,0.41416,0.21136,0.86093,4.96766e-05,4.96766e-05,4.96766e-05
100,8651.14,0.42242,0.22237,0.89935,0.9968,0.98585,0.99359,0.9183,0.41627,0.20967,0.86228,3.31733e-05,3.31733e-05,3.31733e-05
